group,experiment,sequence,qp,bitrate_kbps,psnrY_dB
baseline,Baseline_Ref,BasketballPass_416x240_50,27,,
perf_ablate,ABLATE_RDOQ,BQTerrace_1920x1080_60,27,,
speed_add,ADD_FastMrg,BlowingBubbles_416x240_50,32,,
perf_ablate,ABLATE_ALF,BasketballDrive_1920x1080_50,27,,
speed_ablate,ABLATE_FastMrg,BlowingBubbles_416x240_50,27,,
speed_add,ADD_LCTUFast,BasketballPass_416x240_50,27,,
perf_ablate,ABLATE_ALF,BlowingBubbles_416x240_50,27,,
perf_add,ADD_ALF,BlowingBubbles_416x240_50,37,,
speed_ablate,ABLATE_LCTUFast,BasketballPass_416x240_50,32,,
perf_add,ADD_RDOQ,BasketballPass_416x240_50,27,,
baseline,Baseline_Ref,BasketballDrill_832x480_50,32,,
speed_ablate,ABLATE_FDM,BasketballPass_416x240_50,32,,
speed_add,ADD_FastSearch,BQTerrace_1920x1080_60,27,,
baseline,Baseline_Ref,BlowingBubbles_416x240_50,37,,
speed_add,ADD_FEN,BlowingBubbles_416x240_50,27,,
perf_add,ADD_ALF,BQTerrace_1920x1080_60,27,,
speed_ablate,ABLATE_FDM,BlowingBubbles_416x240_50,37,,
perf_add,ADD_Deblock,BasketballPass_416x240_50,37,,
perf_ablate,ABLATE_RDOQ,BasketballDrive_1920x1080_50,32,,
speed_ablate,ABLATE_LCTUFast,BlowingBubbles_416x240_50,32,,
